policy,entry,exit,pnl
MA50/200,2022-02-04,2022-03-11,-53.66440658383013
MA50/200,2022-02-10,2022-03-17,7969.338668573458
MA50/200,2022-03-17,2022-04-01,4637.714301748278
MA50/200,2022-03-11,2022-04-06,4589.586259174532
MA50/200,2022-04-04,2022-05-09,-37688.4391577394
MA50/200,2022-04-06,2022-05-11,-26919.18200328827
MA50/200,2022-04-21,2022-05-25,-16802.64939463503
MA50/200,2022-05-13,2022-06-03,4414.376975437928
MA50/200,2022-08-01,2022-08-30,7001.1245866613635
MA50/200,2022-07-29,2022-09-01,972.8793544900784
MA50/200,2022-09-07,2022-09-22,6796.091530424303
MA50/200,2022-11-28,2022-12-16,6618.207461105546
MA50/200,2022-12-16,2023-01-24,1324.2506171069526
MA50/200,2023-02-21,2023-03-21,11107.56341491135
MA50/200,2023-02-22,2023-03-27,12520.868984224195
MA50/200,2023-03-22,2023-04-24,10774.257123863317
MA50/200,2023-04-13,2023-05-17,476.98218203539477
MA50/200,2023-05-17,2023-06-22,9972.324984082776
MA50/200,2023-06-22,2023-07-27,8291.180473301423
MA50/200,2023-07-27,2023-08-30,-1500.331892549923
MA50/200,2023-08-30,2023-10-04,-9267.435512578319
MA50/200,2023-10-04,2023-10-17,14638.317735159746
MA50/200,2023-10-17,2023-10-30,-29239.22759643857
MA50/200,2023-10-06,2023-11-09,1369.8456398427104
MA50/200,2023-10-31,2023-12-05,-13261.414980146476
MA50/200,2023-12-05,2024-01-10,10104.2490138308
MA50/200,2024-01-10,2024-02-14,9873.053909438586
MA50/200,2024-02-13,2024-02-27,17805.883637899427
MA50/200,2024-02-27,2024-04-02,6182.230305799172
MA50/200,2024-04-02,2024-05-06,-1753.0120710319895
MA50/200,2024-05-06,2024-06-10,7855.807856838512
MA50/200,2024-06-10,2024-07-16,11311.73142215928
MA50/200,2024-07-16,2024-08-19,-1930.2897010396832
MA50/200,2024-08-19,2024-09-23,4804.626596566539
MA50/200,2024-11-08,2024-12-13,1841.0022347155934
MA50/200,2024-12-13,2025-01-22,1973.1269783410773
MA50/200,2025-01-21,2025-02-03,-7234.435943826364
MA50/200,2025-02-06,2025-02-20,6120.520704637537
MA50/200,2025-02-20,2025-03-05,-31266.15936322497
MA50/200,2025-03-17,2025-04-21,-22088.9279628301
MA50/200,2025-04-16,2025-05-08,4242.625883490662
MA50/200,2025-04-17,2025-05-22,2626.6766057614163
MA50/200,2025-05-08,2025-06-12,6651.073820419058
MA50/200,2025-05-22,2025-06-27,8604.640891354467
MA50/200,2025-07-15,2025-07-28,16455.88023829269
MA50/200,2025-07-07,2025-08-06,12634.03412937792
MA50/200,2025-07-11,2025-08-14,6620.328555132533
MA50/200,2025-09-02,2025-09-15,17611.266166606823
MA50/200,2025-08-14,2025-09-18,5775.23579241106
MA50/200,2025-09-25,2025-10-08,14047.164671794346
MA50/200,2025-09-18,2025-10-22,3285.887383049092
MA50/200,2025-10-23,2025-11-05,6652.522278686835
MA50/200,2025-10-24,2025-11-28,1941.8416880711575
MA50/200,2025-11-17,2025-12-02,11794.83193113475
MA50/200,2025-11-26,2025-12-10,10744.672900505002
MA50/200,2025-12-18,2026-01-02,12919.999625160912
MA50/200,2025-12-02,2026-01-07,2638.026034131205
MA50/200,2026-01-14,2026-01-28,7746.825274244654
MA50/200,2026-01-07,2026-02-11,1669.4289175455544
